pm\mA;1;0.9;0.8;0.7;0.6;0.5;0.4;0.3;0.2;0.1
62.4;191.15;172.54;153.94;135.33;116.73;98.12;79.52;60.91;42.31;23.7
63.3;213;192.35;171.7;151.05;130.4;109.75;89.1;68.45;47.8;27.15
64.3;259.85;234.43;209.01;183.58;158.16;132.74;107.32;81.89;56.47;31.05
65.3;326.05;294.21;262.36;230.52;198.67;166.83;134.98;103.14;71.29;39.45
66.2;351.45;317.28;283.12;248.95;214.78;180.62;146.45;112.28;78.12;43.95
67.2;186.1;167.96;149.82;131.68;113.54;95.41;77.27;59.13;40.99;22.85
68.2;165.9;149.65;133.4;117.15;100.9;84.65;68.4;52.15;35.9;19.65
69.1;173.8;156.79;139.79;122.78;105.78;88.77;71.77;54.76;37.76;20.75
70.1;211.35;190.7;170.05;149.4;128.75;108.1;87.45;66.8;46.15;25.5
71.1;298.2;268.93;239.66;210.38;181.11;151.84;122.57;93.29;64.02;34.75
72;418.5;377.99;337.48;296.97;256.46;215.94;175.43;134.92;94.41;53.9
73;591.25;534.41;477.56;420.72;363.87;307.03;250.18;193.34;136.49;79.65
74;718.4;648.97;579.54;510.12;440.69;371.26;301.83;232.41;162.98;93.55
74.9;236.7;213.23;189.77;166.3;142.83;119.37;95.9;72.43;48.97;25.5
75.9;115.2;104.03;92.87;81.7;70.53;59.37;48.2;37.03;25.87;14.7
76.9;109.55;98.84;88.14;77.43;66.73;56.02;45.32;34.61;23.91;13.2
77.8;105.6;95.17;84.73;74.3;63.87;53.43;43;32.57;22.13;11.7
78.8;95.9;86.51;77.12;67.73;58.34;48.96;39.57;30.18;20.79;11.4
79.8;91.95;82.94;73.94;64.93;55.93;46.92;37.92;28.91;19.91;10.9
80.7;90.35;81.41;72.47;63.53;54.59;45.66;36.72;27.78;18.84;9.9
81.7;85.45;77.09;68.73;60.37;52.01;43.64;35.28;26.92;18.56;10.2
82.7;81;73.02;65.04;57.07;49.09;41.11;33.13;25.16;17.18;9.2
83.6;72.35;65.24;58.13;51.02;43.91;36.79;29.68;22.57;15.46;8.35
84.6;69.45;62.78;56.11;49.43;42.76;36.09;29.42;22.74;16.07;9.4
85.6;67.85;61.14;54.43;47.72;41.01;34.29;27.58;20.87;14.16;7.45
86.5;64.5;58.17;51.83;45.5;39.17;32.83;26.5;20.17;13.83;7.5
87.5;62.85;56.76;50.67;44.58;38.49;32.41;26.32;20.23;14.14;8.05
88.5;65.1;58.68;52.26;45.83;39.41;32.99;26.57;20.14;13.72;7.3
89.4;62.55;56.41;50.26;44.12;37.97;31.83;25.68;19.54;13.39;7.25
90.4;58.95;53.19;47.43;41.67;35.91;30.14;24.38;18.62;12.86;7.1
91.4;53.25;47.97;42.68;37.4;32.12;26.83;21.55;16.27;10.98;5.7
92.3;54.25;48.92;43.58;38.25;32.92;27.58;22.25;16.92;11.58;6.25
93.3;53.7;48.48;43.26;38.03;32.81;27.59;22.37;17.14;11.92;6.7
94.3;49.4;44.58;39.77;34.95;30.13;25.32;20.5;15.68;10.87;6.05
95.2;44.7;40.27;35.83;31.4;26.97;22.53;18.1;13.67;9.23;4.8
96.2;42.4;38.22;34.03;29.85;25.67;21.48;17.3;13.12;8.93;4.75
97.2;43.4;39.09;34.79;30.48;26.18;21.87;17.57;13.26;8.96;4.65
98.1;39.9;35.96;32.02;28.08;24.14;20.21;16.27;12.33;8.39;4.45
99.1;38.25;34.46;30.67;26.88;23.09;19.31;15.52;11.73;7.94;4.15
100.1;36.75;33.19;29.63;26.07;22.51;18.94;15.38;11.82;8.26;4.7
101;35.75;32.37;28.98;25.6;22.22;18.83;15.45;12.07;8.68;5.3
102;34.35;30.93;27.52;24.1;20.68;17.27;13.85;10.43;7.02;3.6
103;34.5;31.13;27.77;24.4;21.03;17.67;14.3;10.93;7.57;4.2
103.9;32.4;29.3;26.2;23.1;20;16.9;13.8;10.7;7.6;4.5
104.9;32;28.89;25.78;22.67;19.56;16.44;13.33;10.22;7.11;4
105.9;30.45;27.49;24.53;21.57;18.61;15.64;12.68;9.72;6.76;3.8
106.8;29.4;26.56;23.71;20.87;18.02;15.18;12.33;9.49;6.64;3.8
107.8;29.45;26.49;23.54;20.58;17.63;14.67;11.72;8.76;5.81;2.85
108.8;30.25;27.24;24.24;21.23;18.23;15.22;12.22;9.21;6.21;3.2
109.7;28.9;26.06;23.22;20.38;17.54;14.71;11.87;9.03;6.19;3.35
110.7;28.8;26.03;23.26;20.48;17.71;14.94;12.17;9.39;6.62;3.85
111.7;27.7;24.97;22.24;19.52;16.79;14.06;11.33;8.61;5.88;3.15
112.6;26.5;23.91;21.31;18.72;16.12;13.53;10.93;8.34;5.74;3.15
113.6;27.95;25.28;22.61;19.93;17.26;14.59;11.92;9.24;6.57;3.9
114.6;25.4;22.94;20.49;18.03;15.58;13.12;10.67;8.21;5.76;3.3
115.5;24.15;21.86;19.56;17.27;14.97;12.68;10.38;8.09;5.79;3.5
116.5;23.7;21.46;19.21;16.97;14.72;12.48;10.23;7.99;5.74;3.5
117.5;22.3;20.14;17.99;15.83;13.68;11.52;9.37;7.21;5.06;2.9
118.4;23.3;21;18.7;16.4;14.1;11.8;9.5;7.2;4.9;2.6
119.4;23.2;21.01;18.81;16.62;14.42;12.23;10.03;7.84;5.64;3.45
120.4;23.4;21.15;18.9;16.65;14.4;12.15;9.9;7.65;5.4;3.15
121.3;22.4;20.22;18.03;15.85;13.67;11.48;9.3;7.12;4.93;2.75
122.3;21.95;19.83;17.72;15.6;13.48;11.37;9.25;7.13;5.02;2.9
;;;;;;;;;;
25.6;7.1;6.41;5.71;5.02;4.32;3.63;2.93;2.24;1.54;0.85
26.6;7.3;6.61;5.92;5.23;4.54;3.86;3.17;2.48;1.79;1.1
27.6;6.75;6.11;5.47;4.83;4.19;3.56;2.92;2.28;1.64;1
28.5;7.1;6.47;5.84;5.22;4.59;3.96;3.33;2.71;2.08;1.45
29.5;6.75;6.08;5.41;4.73;4.06;3.39;2.72;2.04;1.37;0.7
30.5;6.6;6.01;5.42;4.83;4.24;3.66;3.07;2.48;1.89;1.3
31.4;8.3;7.52;6.74;5.97;5.19;4.41;3.63;2.86;2.08;1.3
32.4;7.6;6.86;6.12;5.38;4.64;3.91;3.17;2.43;1.69;0.95
33.4;6.7;6.06;5.41;4.77;4.12;3.48;2.83;2.19;1.54;0.9
34.3;6.65;6.06;5.47;4.88;4.29;3.71;3.12;2.53;1.94;1.35
35.3;9.35;8.42;7.49;6.57;5.64;4.71;3.78;2.86;1.93;1
36.3;10.4;9.42;8.43;7.45;6.47;5.48;4.5;3.52;2.53;1.55
37.2;16.95;15.34;13.74;12.13;10.53;8.92;7.32;5.71;4.11;2.5
38.2;26.25;23.71;21.16;18.62;16.07;13.53;10.98;8.44;5.89;3.35
39.2;55.3;49.97;44.64;39.32;33.99;28.66;23.33;18.01;12.68;7.35
40.1;101.45;91.53;81.62;71.7;61.78;51.87;41.95;32.03;22.12;12.2
41.1;144.3;130.41;116.51;102.62;88.72;74.83;60.93;47.04;33.14;19.25
42.1;175.3;158.56;141.82;125.08;108.34;91.61;74.87;58.13;41.39;24.65
43;194.4;175.56;156.72;137.88;119.04;100.21;81.37;62.53;43.69;24.85
44;215.45;194.56;173.66;152.77;131.87;110.98;90.08;69.19;48.29;27.4
45;228.05;206.33;184.62;162.9;141.18;119.47;97.75;76.03;54.32;32.6
